N: 0, 412753B86, 0, 0, START, 6;
N: 1, 412B53786, -234375.0, 26041, REGULAR, 5;
N: 2, B12453786, -281250.0, 52082, REGULAR, 4;
N: 3, 1B2453786, -284375.0, 78123, REGULAR, 3;
N: 4, 12B453786, -285000.0, 104164, REGULAR, 2;
N: 5, 12345B786, -284875.0, 130205, REGULAR, 1;
N: 6, 12345678B, -284850.0, 156246, GOAL, 0;
N: 7, 1234B5786, -284800.0, 156246, REGULAR, 2;
N: 8, 1524B3786, -283750.0, 104164, REGULAR, 4;
N: 9, 15243B786, -283875.0, 130205, REGULAR, 4;
N: 10, 15B432786, -283950.0, 156246, REGULAR, 4;
N: 11, 15243678B, -283850.0, 156246, REGULAR, 3;
N: 12, 1524837B6, -283625.0, 130205, REGULAR, 5;
N: 13, 15248376B, -283650.0, 156246, REGULAR, 5;
N: 14, 152483B76, -283550.0, 156246, REGULAR, 6;
N: 15, 152B43786, -283375.0, 130205, REGULAR, 5;
N: 16, B52143786, -283450.0, 156246, REGULAR, 6;
N: 17, 152743B86, -283350.0, 156246, REGULAR, 6;
N: 18, 4125B3786, -250000.0, 52082, REGULAR, 6;
N: 19, 4B2513786, -259375.0, 78123, REGULAR, 6;
N: 20, 42B513786, -260000.0, 104164, REGULAR, 5;
N: 21, 42351B786, -259875.0, 130205, REGULAR, 4;
N: 22, 42351678B, -259850.0, 156246, REGULAR, 3;
N: 23, 4235B1786, -259800.0, 156246, REGULAR, 4;
N: 24, B42513786, -257500.0, 104164, REGULAR, 6;
N: 25, 542B13786, -257375.0, 130205, REGULAR, 6;
N: 26, 5421B3786, -257400.0, 156246, REGULAR, 6;
N: 27, 542713B86, -257350.0, 156246, REGULAR, 7;
N: 28, 41253B786, -253125.0, 78123, REGULAR, 6;
N: 29, 41B532786, -255000.0, 104164, REGULAR, 6;
N: 30, 4B1532786, -254625.0, 130205, REGULAR, 6;
N: 31, 4315B2786, -254600.0, 156246, REGULAR, 6;
N: 32, B41532786, -254550.0, 156246, REGULAR, 6;
N: 33, 41253678B, -252500.0, 104164, REGULAR, 5;
N: 34, 4125367B8, -252125.0, 130205, REGULAR, 6;
N: 35, 4125B6738, -252200.0, 156246, REGULAR, 6;
N: 36, 412536B78, -252050.0, 156246, REGULAR, 7;
N: 37, 4125837B6, -246875.0, 78123, REGULAR, 7;
N: 38, 41258376B, -247500.0, 104164, REGULAR, 7;
N: 39, 41258B763, -247875.0, 130205, REGULAR, 7;
N: 40, 41B582763, -247950.0, 156246, REGULAR, 7;
N: 41, 4125B8763, -247800.0, 156246, REGULAR, 7;
N: 42, 412583B76, -245000.0, 104164, REGULAR, 8;
N: 43, 412B83576, -245375.0, 130205, REGULAR, 8;
N: 44, B12483576, -245450.0, 156246, REGULAR, 7;
N: 45, 4128B3576, -245400.0, 156246, REGULAR, 8;
N: 46, 4127538B6, -78125.0, 26041, REGULAR, 7;
N: 47, 4127B3856, -125000.0, 52082, REGULAR, 8;
N: 48, 4B2713856, -134375.0, 78123, REGULAR, 8;
N: 49, 42B713856, -135000.0, 104164, REGULAR, 7;
N: 50, 42371B856, -134875.0, 130205, REGULAR, 6;
N: 51, 42371685B, -134850.0, 156246, REGULAR, 5;
N: 52, 4237B1856, -134800.0, 156246, REGULAR, 6;
N: 53, B42713856, -132500.0, 104164, REGULAR, 8;
N: 54, 742B13856, -132375.0, 130205, REGULAR, 8;
N: 55, 7421B3856, -132400.0, 156246, REGULAR, 8;
N: 56, 742813B56, -132350.0, 156246, REGULAR, 8;
N: 57, 41273B856, -128125.0, 78123, REGULAR, 8;
N: 58, 41B732856, -130000.0, 104164, REGULAR, 8;
N: 59, 4B1732856, -129625.0, 130205, REGULAR, 8;
N: 60, 4317B2856, -129600.0, 156246, REGULAR, 8;
N: 61, B41732856, -129550.0, 156246, REGULAR, 8;
N: 62, 41273685B, -127500.0, 104164, REGULAR, 7;
N: 63, 4127368B5, -127125.0, 130205, REGULAR, 7;
N: 64, 4127B6835, -127200.0, 156246, REGULAR, 7;
N: 65, 412736B85, -127050.0, 156246, REGULAR, 6;
N: 66, 412B73856, -115625.0, 78123, REGULAR, 8;
N: 67, B12473856, -117500.0, 104164, REGULAR, 7;
N: 68, 1B2473856, -117625.0, 130205, REGULAR, 6;
N: 69, 12B473856, -117650.0, 156246, REGULAR, 5;
N: 70, 1724B3856, -117600.0, 156246, REGULAR, 6;
N: 71, 412873B56, -115000.0, 104164, REGULAR, 8;
N: 72, 4128735B6, -115125.0, 130205, REGULAR, 8;
N: 73, 41287356B, -115150.0, 156246, REGULAR, 8;
N: 74, 41275386B, -93750.0, 52082, REGULAR, 7;
N: 75, 41275B863, -103125.0, 78123, REGULAR, 7;
N: 76, 41B752863, -105000.0, 104164, REGULAR, 7;
N: 77, 4B1752863, -104625.0, 130205, REGULAR, 7;
N: 78, 4517B2863, -104600.0, 156246, REGULAR, 8;
N: 79, B41752863, -104550.0, 156246, REGULAR, 7;
N: 80, 4127B5863, -101250.0, 104164, REGULAR, 8;
N: 81, 4B2715863, -101625.0, 130205, REGULAR, 8;
N: 82, 42B715863, -101650.0, 156246, REGULAR, 7;
N: 83, B42715863, -101550.0, 156246, REGULAR, 8;
N: 84, 4127658B3, -101125.0, 130205, REGULAR, 8;
N: 85, 41276583B, -101150.0, 156246, REGULAR, 8;
N: 86, 412765B83, -101050.0, 156246, REGULAR, 7;
N: 87, 412B75863, -100875.0, 130205, REGULAR, 8;
N: 88, B12475863, -100950.0, 156246, REGULAR, 7;
N: 89, 412875B63, -100850.0, 156246, REGULAR, 8;
